filename,numbers,timeCounting,timeQuick,timeQuickSeuil,timeQuickRdmSeuil
./exemplaires/testset_1000_0.txt,1000,0.155708,0.612555,0.54049,0.515876
./exemplaires/testset_1000_1.txt,1000,0.137166,0.551673,0.524033,0.49977
./exemplaires/testset_1000_2.txt,1000,0.114983,0.429917,0.412783,0.387639
./exemplaires/testset_1000_3.txt,1000,0.125237,0.433568,0.41011,0.454521
./exemplaires/testset_1000_4.txt,1000,0.103714,0.413134,0.390337,0.414256
./exemplaires/testset_1000_5.txt,1000,0.103762,0.478484,0.440999,0.429885
./exemplaires/testset_1000_6.txt,1000,0.101936,0.4164,0.377436,0.419379
./exemplaires/testset_1000_7.txt,1000,0.102365,0.439478,0.407874,0.409935
./exemplaires/testset_1000_8.txt,1000,0.092186,0.456615,0.428315,0.410347
./exemplaires/testset_1000_9.txt,1000,0.119056,0.49387,0.39227,0.452556
./exemplaires/testset_1000_10.txt,1000,1895.27,0.405703,0.393648,0.39163
./exemplaires/testset_1000_11.txt,1000,1937.12,0.384376,0.388884,0.415388
./exemplaires/testset_1000_12.txt,1000,1935.07,0.385651,0.382868,0.36487
./exemplaires/testset_1000_13.txt,1000,1923.2,0.397607,0.388729,0.39128
./exemplaires/testset_1000_14.txt,1000,1893.17,0.399724,0.384941,0.393908
./exemplaires/testset_1000_15.txt,1000,1944.1,0.400548,0.38899,0.382778
./exemplaires/testset_1000_16.txt,1000,1885.52,0.403512,0.397523,0.382943
./exemplaires/testset_1000_17.txt,1000,5611.27,0.382137,0.38606,0.424616
./exemplaires/testset_1000_18.txt,1000,1885.92,0.386556,0.377568,0.445832
./exemplaires/testset_1000_19.txt,1000,2098.46,0.444241,0.433581,0.40896
./exemplaires/testset_1000_20.txt,1000,0.164828,3.49253,3.51589,0.317019
./exemplaires/testset_1000_21.txt,1000,0.156617,4.26547,4.33157,0.373613
./exemplaires/testset_1000_22.txt,1000,0.155272,1.50231,1.39838,0.332966
./exemplaires/testset_1000_23.txt,1000,0.150359,0.945712,0.974354,0.388628
./exemplaires/testset_1000_24.txt,1000,0.191856,1.25955,1.26313,0.333169
./exemplaires/testset_1000_25.txt,1000,0.182505,3.1309,3.10166,0.404987
./exemplaires/testset_1000_26.txt,1000,0.20686,1.55778,1.39843,0.357039
./exemplaires/testset_1000_27.txt,1000,0.174555,3.3629,2.92611,0.338419
./exemplaires/testset_1000_28.txt,1000,0.229689,1.75547,1.69833,0.329617
./exemplaires/testset_1000_29.txt,1000,0.164451,3.91061,3.9692,0.360922
./exemplaires/testset_5000_0.txt,5000,0.475499,2.51673,2.48977,2.38836
./exemplaires/testset_5000_1.txt,5000,0.613545,2.64607,2.49498,2.24699
./exemplaires/testset_5000_2.txt,5000,0.566905,2.92968,2.62374,2.52733
./exemplaires/testset_5000_3.txt,5000,0.579,2.67742,2.54928,2.45026
./exemplaires/testset_5000_4.txt,5000,0.456909,2.84703,2.74836,2.35966
./exemplaires/testset_5000_5.txt,5000,0.547062,2.37839,2.5296,2.20941
./exemplaires/testset_5000_6.txt,5000,0.458586,2.30068,2.25855,2.67281
./exemplaires/testset_5000_7.txt,5000,0.492695,2.53435,2.31968,2.52221
./exemplaires/testset_5000_8.txt,5000,0.42078,2.31548,2.14602,2.46408
./exemplaires/testset_5000_9.txt,5000,0.509397,2.21936,2.34181,2.53196
./exemplaires/testset_5000_10.txt,5000,0,2.43949,2.38798,2.34797
./exemplaires/testset_5000_11.txt,5000,0,2.27664,2.24476,2.77641
./exemplaires/testset_5000_12.txt,5000,0,2.32334,2.28621,2.36776
./exemplaires/testset_5000_13.txt,5000,0,2.40259,2.42246,2.37641
./exemplaires/testset_5000_14.txt,5000,0,2.27203,2.232,2.37868
./exemplaires/testset_5000_15.txt,5000,0,2.31646,2.25484,2.27261
./exemplaires/testset_5000_16.txt,5000,0,2.37225,2.35116,2.36489
./exemplaires/testset_5000_17.txt,5000,0,2.60042,2.57083,2.28009
./exemplaires/testset_5000_18.txt,5000,0,2.54873,2.45994,2.46549
./exemplaires/testset_5000_19.txt,5000,0,2.36341,2.25462,2.22048
./exemplaires/testset_5000_20.txt,5000,0.970795,13.6135,13.446,2.1659
./exemplaires/testset_5000_21.txt,5000,0.811797,5.46286,5.84422,2.05941
./exemplaires/testset_5000_22.txt,5000,0.812349,5.15273,5.63042,2.25394
./exemplaires/testset_5000_23.txt,5000,1.19136,5.6261,5.51636,2.07833
./exemplaires/testset_5000_24.txt,5000,0.805011,7.92307,8.32648,2.13785
./exemplaires/testset_5000_25.txt,5000,0.967445,14.6067,14.5342,2.21836
./exemplaires/testset_5000_26.txt,5000,0.845458,6.51258,6.75504,2.24855
./exemplaires/testset_5000_27.txt,5000,0.752056,8.581,8.74152,2.5923
./exemplaires/testset_5000_28.txt,5000,0.788163,10.2833,9.70017,2.22771
./exemplaires/testset_5000_29.txt,5000,0.949074,6.02667,6.09936,2.05843
./exemplaires/testset_10000_0.txt,10000,0.806702,5.42331,5.39302,5.3256
./exemplaires/testset_10000_1.txt,10000,0.822762,4.79184,4.61577,5.13787
./exemplaires/testset_10000_2.txt,10000,0.806941,5.45514,5.25356,5.23102
./exemplaires/testset_10000_3.txt,10000,0.785153,5.45156,5.22983,5.63138
./exemplaires/testset_10000_4.txt,10000,0.815198,5.06741,4.94518,5.26264
./exemplaires/testset_10000_5.txt,10000,0.792163,5.56534,5.41037,5.17112
./exemplaires/testset_10000_6.txt,10000,0.811892,5.20749,4.97584,4.98499
./exemplaires/testset_10000_7.txt,10000,0.801678,5.21209,4.90752,5.60324
./exemplaires/testset_10000_8.txt,10000,0.792281,5.15228,5.02852,6.11269
./exemplaires/testset_10000_9.txt,10000,0.834861,4.95196,4.77391,5.18582
./exemplaires/testset_10000_10.txt,10000,0,4.9461,4.83598,5.07836
./exemplaires/testset_10000_11.txt,10000,0,5.37933,5.26212,5.32507
./exemplaires/testset_10000_12.txt,10000,0,5.27764,5.11055,5.29862
./exemplaires/testset_10000_13.txt,10000,0,5.28311,5.15868,6.1091
./exemplaires/testset_10000_14.txt,10000,0,5.03793,4.83323,5.60428
./exemplaires/testset_10000_15.txt,10000,0,5.32405,5.20231,5.09417
./exemplaires/testset_10000_16.txt,10000,0,4.97108,4.82812,4.84306
./exemplaires/testset_10000_17.txt,10000,0,5.02284,4.94982,5.1289
./exemplaires/testset_10000_18.txt,10000,0,5.39338,5.41603,5.08572
./exemplaires/testset_10000_19.txt,10000,0,5.03312,4.83078,5.10101
./exemplaires/testset_10000_20.txt,10000,1.65948,18.3704,18.7833,4.7626
./exemplaires/testset_10000_21.txt,10000,1.44653,21.2669,21.7805,4.96077
./exemplaires/testset_10000_22.txt,10000,1.56562,20.1477,20.8799,4.76789
./exemplaires/testset_10000_23.txt,10000,1.4617,16.0132,16.1804,5.27265
./exemplaires/testset_10000_24.txt,10000,1.42707,22.8663,23.658,4.80111
./exemplaires/testset_10000_25.txt,10000,1.42726,12.913,12.9409,5.47481
./exemplaires/testset_10000_26.txt,10000,1.4548,18.9769,19.1611,4.85136
./exemplaires/testset_10000_27.txt,10000,1.43699,21.1576,21.5723,5.20208
./exemplaires/testset_10000_28.txt,10000,1.46466,13.3096,13.1131,4.87888
./exemplaires/testset_10000_29.txt,10000,1.37218,12.817,13.214,4.71417
./exemplaires/testset_50000_0.txt,50000,4.24568,32.0974,30.5597,30.9093
./exemplaires/testset_50000_1.txt,50000,3.81996,33.4305,32.6017,31.8016
./exemplaires/testset_50000_2.txt,50000,3.93265,31.6902,31.0924,28.1507
./exemplaires/testset_50000_3.txt,50000,3.80586,32.7513,31.5878,30.7861
./exemplaires/testset_50000_4.txt,50000,5.47082,32.0641,30.2981,29.4143
./exemplaires/testset_50000_5.txt,50000,3.90101,31.6428,30.9629,31.0298
./exemplaires/testset_50000_6.txt,50000,4.04932,33.4545,29.7226,28.5752
./exemplaires/testset_50000_7.txt,50000,3.90752,30.5466,29.7293,33.3827
./exemplaires/testset_50000_8.txt,50000,3.99058,31.9376,30.8249,29.7696
./exemplaires/testset_50000_9.txt,50000,3.85842,30.8831,30.5287,30.5934
./exemplaires/testset_50000_10.txt,50000,0,31.535,31.3603,30.8399
./exemplaires/testset_50000_11.txt,50000,0,31.074,30.3985,29.3144
./exemplaires/testset_50000_12.txt,50000,0,29.9726,29.4403,33.5559
./exemplaires/testset_50000_13.txt,50000,0,30.3294,29.9574,28.7856
./exemplaires/testset_50000_14.txt,50000,0,28.4244,28.3149,29.6757
./exemplaires/testset_50000_15.txt,50000,0,34.3817,34.1172,31.2258
./exemplaires/testset_50000_16.txt,50000,0,30.9575,30.6686,32.4313
./exemplaires/testset_50000_17.txt,50000,0,30.8807,30.5726,31.7402
./exemplaires/testset_50000_18.txt,50000,0,33.6446,33.6308,30.1312
./exemplaires/testset_50000_19.txt,50000,0,31.2171,31.3076,30.0284
./exemplaires/testset_50000_20.txt,50000,8.084,74.2734,74.2204,29.6817
./exemplaires/testset_50000_21.txt,50000,7.3264,114.149,115.129,28.1806
./exemplaires/testset_50000_22.txt,50000,7.01021,95.213,93.5968,28.2147
./exemplaires/testset_50000_23.txt,50000,7.21887,131.54,131.38,27.3907
./exemplaires/testset_50000_24.txt,50000,7.07837,89.9244,91.6899,27.3831
./exemplaires/testset_50000_25.txt,50000,7.01995,75.1667,78.0206,26.7517
./exemplaires/testset_50000_26.txt,50000,7.02073,100.763,101.737,26.0884
./exemplaires/testset_50000_27.txt,50000,7.21436,132.503,132.12,26.5356
./exemplaires/testset_50000_28.txt,50000,7.24814,141.074,141.579,27.1707
./exemplaires/testset_50000_29.txt,50000,7.00066,73.3121,74.1089,27.7165
./exemplaires/testset_100000_0.txt,100000,8.2406,65.3287,64.087,66.8817
./exemplaires/testset_100000_1.txt,100000,8.08547,67.3034,65.1568,61.3521
./exemplaires/testset_100000_2.txt,100000,8.02718,66.2122,63.929,62.4518
./exemplaires/testset_100000_3.txt,100000,7.96422,69.6304,67.6712,66.4239
./exemplaires/testset_100000_4.txt,100000,8.18038,66.1741,64.1348,67.4284
./exemplaires/testset_100000_5.txt,100000,7.75891,66.6116,64.0623,64.0628
./exemplaires/testset_100000_6.txt,100000,7.73292,66.2789,63.1463,71.6264
./exemplaires/testset_100000_7.txt,100000,9.8157,68.6412,66.4037,64.7821
./exemplaires/testset_100000_8.txt,100000,7.74457,69.7351,64.9771,62.2943
./exemplaires/testset_100000_9.txt,100000,7.81536,63.3777,61.5323,64.0088
./exemplaires/testset_100000_10.txt,100000,0,64.1331,64.6498,62.6048
./exemplaires/testset_100000_11.txt,100000,0,65.0016,64.2564,67.8564
./exemplaires/testset_100000_12.txt,100000,0,64.4803,63.5746,65.9807
./exemplaires/testset_100000_13.txt,100000,0,70.2092,69.173,61.973
./exemplaires/testset_100000_14.txt,100000,0,64.0431,62.8045,61.2065
./exemplaires/testset_100000_15.txt,100000,0,63.8404,62.8692,63.4133
./exemplaires/testset_100000_16.txt,100000,0,65.0772,63.0497,67.8245
./exemplaires/testset_100000_17.txt,100000,0,67.8801,67.1003,61.4374
./exemplaires/testset_100000_18.txt,100000,0,70.7014,70.6492,66.1358
./exemplaires/testset_100000_19.txt,100000,0,65.2117,64.114,64.5224
./exemplaires/testset_100000_20.txt,100000,16.4461,153.145,151.972,59.6594
./exemplaires/testset_100000_21.txt,100000,14.8833,149.839,149.316,59.5747
./exemplaires/testset_100000_22.txt,100000,14.2171,156.853,158.157,56.9082
./exemplaires/testset_100000_23.txt,100000,14.271,137.018,137.02,63.4351
./exemplaires/testset_100000_24.txt,100000,15.265,247.723,244.771,58.4913
./exemplaires/testset_100000_25.txt,100000,14.4298,261.037,260.759,59.125
./exemplaires/testset_100000_26.txt,100000,14.266,163.702,164.212,56.7311
./exemplaires/testset_100000_27.txt,100000,14.3392,186.674,186.982,60.0917
./exemplaires/testset_100000_28.txt,100000,14.3922,279.457,281.892,59.6281
./exemplaires/testset_100000_29.txt,100000,14.39,162.031,165.126,58.2372
./exemplaires/testset_500000_0.txt,500000,46.8157,363.207,352.057,370.254
./exemplaires/testset_500000_1.txt,500000,45.808,387.522,378.454,383.018
./exemplaires/testset_500000_2.txt,500000,46.0838,400.577,393.059,361.552
./exemplaires/testset_500000_3.txt,500000,44.2091,412.203,402.421,368.889
./exemplaires/testset_500000_4.txt,500000,46.4568,372.546,361.404,384.295
./exemplaires/testset_500000_5.txt,500000,44.431,367.587,357.78,364.924
./exemplaires/testset_500000_6.txt,500000,45.4953,357.089,349.2,374.553
./exemplaires/testset_500000_7.txt,500000,46.1602,365.499,355.271,371.735
./exemplaires/testset_500000_8.txt,500000,46.1038,381.47,373.319,376.602
./exemplaires/testset_500000_9.txt,500000,45.8965,383.805,374.782,375.374
./exemplaires/testset_500000_10.txt,500000,0,356.936,353.976,367.904
./exemplaires/testset_500000_11.txt,500000,0,361.374,356.332,374.162
./exemplaires/testset_500000_12.txt,500000,0,353.762,350.861,374.294
./exemplaires/testset_500000_13.txt,500000,0,369.919,363.578,371.132
./exemplaires/testset_500000_14.txt,500000,0,380.226,374.589,370.822
./exemplaires/testset_500000_15.txt,500000,0,376.163,371.088,378.849
./exemplaires/testset_500000_16.txt,500000,0,361.544,360.655,372.345
./exemplaires/testset_500000_17.txt,500000,0,355.95,350.894,369.576
./exemplaires/testset_500000_18.txt,500000,0,348.908,349.64,376.239
