filename,numbers,seuil,timeQuickSeuil,timeQuickRdmSeuil
./exemplaires/testset_1000_0.txt,1000,0,2.15442,1.61912
./exemplaires/testset_1000_0.txt,1000,2,0.803508,0.764442
./exemplaires/testset_1000_0.txt,1000,4,0.535638,0.547973
./exemplaires/testset_1000_0.txt,1000,6,0.431586,0.485237
./exemplaires/testset_1000_0.txt,1000,8,0.40523,0.442648
./exemplaires/testset_1000_0.txt,1000,10,0.42303,0.442835
./exemplaires/testset_1000_0.txt,1000,12,0.417914,0.418893
./exemplaires/testset_1000_0.txt,1000,14,0.432158,0.402445
./exemplaires/testset_1000_0.txt,1000,16,0.422024,0.419852
./exemplaires/testset_1000_0.txt,1000,18,0.453506,0.406515
./exemplaires/testset_1000_0.txt,1000,20,0.451099,0.403701
./exemplaires/testset_1000_0.txt,1000,32,0.543173,0.409626
./exemplaires/testset_1000_0.txt,1000,64,0.890468,0.402208
./exemplaires/testset_1000_0.txt,1000,128,1.69819,0.411334
./exemplaires/testset_1000_0.txt,1000,256,2.9781,0.40194
./exemplaires/testset_1000_1.txt,1000,0,0.446018,0.460957
./exemplaires/testset_1000_1.txt,1000,2,0.418112,0.455798
./exemplaires/testset_1000_1.txt,1000,4,0.418382,0.455888
./exemplaires/testset_1000_1.txt,1000,6,0.404395,0.452741
./exemplaires/testset_1000_1.txt,1000,8,0.413997,0.456284
./exemplaires/testset_1000_1.txt,1000,10,0.446429,0.474288
./exemplaires/testset_1000_1.txt,1000,12,0.460969,0.461035
./exemplaires/testset_1000_1.txt,1000,14,0.46928,0.463889
./exemplaires/testset_1000_1.txt,1000,16,0.488933,0.460026
./exemplaires/testset_1000_1.txt,1000,18,0.503422,0.46047
./exemplaires/testset_1000_1.txt,1000,20,0.534309,0.46811
./exemplaires/testset_1000_1.txt,1000,32,0.606566,0.445166
./exemplaires/testset_1000_1.txt,1000,64,0.94484,0.517188
./exemplaires/testset_1000_1.txt,1000,128,1.80264,0.490695
./exemplaires/testset_1000_1.txt,1000,256,3.06653,0.460302
./exemplaires/testset_1000_2.txt,1000,0,0.550731,0.440222
./exemplaires/testset_1000_2.txt,1000,2,0.354343,0.42032
./exemplaires/testset_1000_2.txt,1000,4,0.3509,0.419672
./exemplaires/testset_1000_2.txt,1000,6,0.359392,0.419029
./exemplaires/testset_1000_2.txt,1000,8,0.368979,0.428116
./exemplaires/testset_1000_2.txt,1000,10,0.388236,0.444904
./exemplaires/testset_1000_2.txt,1000,12,0.42344,0.450186
./exemplaires/testset_1000_2.txt,1000,14,0.44068,0.450157
./exemplaires/testset_1000_2.txt,1000,16,0.466255,0.449582
./exemplaires/testset_1000_2.txt,1000,18,0.485116,0.449106
./exemplaires/testset_1000_2.txt,1000,20,0.505557,0.461265
./exemplaires/testset_1000_2.txt,1000,32,0.625575,0.448742
./exemplaires/testset_1000_2.txt,1000,64,1.02563,0.445448
./exemplaires/testset_1000_2.txt,1000,128,1.51875,0.448396
./exemplaires/testset_1000_2.txt,1000,256,3.07014,0.43941
./exemplaires/testset_1000_3.txt,1000,0,0.407564,0.512696
./exemplaires/testset_1000_3.txt,1000,2,0.382586,0.493969
./exemplaires/testset_1000_3.txt,1000,4,0.379902,0.489133
./exemplaires/testset_1000_3.txt,1000,6,0.391748,0.575298
./exemplaires/testset_1000_3.txt,1000,8,0.505431,0.596366
./exemplaires/testset_1000_3.txt,1000,10,0.480185,0.586256
./exemplaires/testset_1000_3.txt,1000,12,0.48315,0.570541
./exemplaires/testset_1000_3.txt,1000,14,0.479311,0.586017
./exemplaires/testset_1000_3.txt,1000,16,0.508943,0.538053
./exemplaires/testset_1000_3.txt,1000,18,0.475529,0.487461
./exemplaires/testset_1000_3.txt,1000,20,0.484172,0.482463
./exemplaires/testset_1000_3.txt,1000,32,0.557953,0.480763
./exemplaires/testset_1000_3.txt,1000,64,1.00994,0.47776
./exemplaires/testset_1000_3.txt,1000,128,1.60961,0.476829
./exemplaires/testset_1000_3.txt,1000,256,2.98218,0.491022
./exemplaires/testset_1000_4.txt,1000,0,0.391593,0.457183
./exemplaires/testset_1000_4.txt,1000,2,0.357651,0.456107
./exemplaires/testset_1000_4.txt,1000,4,0.346166,0.452848
./exemplaires/testset_1000_4.txt,1000,6,0.375638,0.452776
./exemplaires/testset_1000_4.txt,1000,8,0.370126,0.447901
./exemplaires/testset_1000_4.txt,1000,10,0.34561,0.45621
./exemplaires/testset_1000_4.txt,1000,12,0.368418,0.442744
./exemplaires/testset_1000_4.txt,1000,14,0.385972,0.433506
./exemplaires/testset_1000_4.txt,1000,16,0.384992,0.421886
./exemplaires/testset_1000_4.txt,1000,18,0.41885,0.427193
./exemplaires/testset_1000_4.txt,1000,20,0.461768,0.443481
./exemplaires/testset_1000_4.txt,1000,32,0.554048,0.422632
./exemplaires/testset_1000_4.txt,1000,64,0.89666,0.423413
./exemplaires/testset_1000_4.txt,1000,128,1.9733,0.417537
./exemplaires/testset_1000_4.txt,1000,256,3.18708,0.420815
./exemplaires/testset_1000_5.txt,1000,0,0.506964,0.422207
./exemplaires/testset_1000_5.txt,1000,2,0.390698,0.423367
./exemplaires/testset_1000_5.txt,1000,4,0.418671,0.42022
./exemplaires/testset_1000_5.txt,1000,6,0.384684,0.494572
./exemplaires/testset_1000_5.txt,1000,8,0.486507,0.505226
./exemplaires/testset_1000_5.txt,1000,10,0.520924,0.499314
./exemplaires/testset_1000_5.txt,1000,12,0.556428,0.528999
./exemplaires/testset_1000_5.txt,1000,14,0.518689,0.504512
./exemplaires/testset_1000_5.txt,1000,16,0.666462,0.52728
./exemplaires/testset_1000_5.txt,1000,18,0.583026,0.510588
./exemplaires/testset_1000_5.txt,1000,20,0.613608,0.49776
./exemplaires/testset_1000_5.txt,1000,32,0.734882,0.499382
